text,label
"Your account has been suspended. Click here to verify your identity immediately: http://suspicious-login-security.com","phishing"
"Urgent: Your mailbox storage is full. Re-login now to avoid losing emails: http://mail-reset-auth.io","phishing"
"Congratulations! You have won a gift card. Claim now by entering your bank details.","phishing"
"Invoice attached for your recent purchase. Please see the PDF.","legit"
"Weekly meeting at 3PM. Agenda attached.","legit"
"Security alert: unusual sign-in detected. Verify your password here: http://bit.ly/verify-account","phishing"
"Team lunch tomorrow at 12:30. Please RSVP.","legit"
"Payroll update: Submit your SSN to receive your salary.","phishing"
"Here is the draft of the report for review.","legit"
"Action required: Your package is on hold. Pay customs fee to release: http://fake-shipping-update.net","phishing"
"Board minutes from last week are attached for your comments.","legit"
"Reset your password now to secure your account: http://short.link/reset","phishing"
"Reminder: submit timesheet by EOD.","legit"
"Please review the marketing plan and add feedback.","legit"
"Your Apple ID will be locked. Confirm billing immediately.","phishing"
"New event invitation: Product Demo on Friday.","legit"
"Delivery failed. Click here to re-schedule and enter credit card details.","phishing"
"Company newsletter for October.","legit"
"Urgent: Account verification required to prevent closure.","phishing"
"Thanks for your help on the project!","legit"
